Parameter,Category Description,Parameter Description,Basic Criterion,Medium Criterion,High Criterion,Optimised Parameter Name,Domain / Category,Category Overview,,
Clear Path Under Body View - Transparent Chassis,,"Advanced camera processing that creates a simulated under-vehicle or transparent-chassis view using delayed front and side camera feeds, helping drivers navigate obstacles and kerbs that would otherwise be hidden beneath the vehicle.",,,Real-time transparent chassis rendering with camera interpolation and obstacle highlighting.,Transparent Underbody View (Clear Path Vision),,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Automated Parking -,,"System that handles the parking manoeuvre without sustained driver input. Medium = system controls steering only (driver manages throttle/brake) for parallel and perpendicular spaces; High = fully automated including steering, throttle, braking, and gear selection.",,Semi-automated: system controls steering for parallel and perpendicular spaces.,"Fully automated: system controls steering, throttle, braking, and gear selection — hands-free.",Automated Parking System,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Remote parking -,,System enabling the driver to control parking from outside the vehicle via a smartphone app. Medium = straight-line pull-in/pull-out only; High = full automated parallel and perpendicular parking with the driver supervising from outside.,,"
Remote control via app for straight-line pull-in/pull-out only.",Full remote automated parallel and perpendicular parking with driver supervising via app outside the vehicle.,Remote Parking via Smartphone,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Auto Reverse Maneuver,,"The vehicle records the driven path as the driver approaches a destination, then autonomously replicates the manoeuvre in reverse — useful for navigating narrow lanes, driveways, or complex approaches.",,,System fully records driven path and autonomously replicates it in reverse with obstacle detection.,Automatic Reverse Manoeuvre (Path Replay),,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Home zone parking,,"The driver trains the vehicle on a specific repeated parking path (e.g., entering a home garage), which is stored and can subsequently be executed autonomously with a single command.",,,Multiple stored home-zone paths with automatic path selection and hands-free execution.,Home Zone Automated Parking,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Valet parking (all parking lots -L4),,SAE Level 4 automated valet parking capability: the vehicle can self-park in any compatible parking structure without a driver present or monitoring the manoeuvre.,,,Full SAE L4 automated valet in any compatible parking structure — no driver monitoring required.,Automated Valet Parking Level 4,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Trailer 360 Degree Surround View,,"Auxiliary trailer mounted cameras provide a constructed top view of the vehicle, trailer and surroundings to assist them while maneuvering and parking.  Extends top-down 360 surround view between vehicle and trailer.  in addition to a top-down view, Driver can select specific cameras to focus views on",,,Equipment provided by the manufacturer or as an official accessory.,Trailer 360-Degree Surround View Camera,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Trailer Reverse Steering Control,,"System that decouples the trailer's direction from the steering wheel: the driver uses a dedicated dial or interface to select the desired trailer direction, while the system independently controls the vehicle's steering to achieve it — eliminating the counterintuitive reversal of steering input.",,,Full TRSC: driver selects direction via dial; system fully controls steering to follow intended trailer path.,Trailer Reverse Steering Control System,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Trailer Reverse Guidance,,"Camera-based system that overlays dynamic predicted path lines on the rear camera image when reversing with a trailer, helping the driver judge the trailer's trajectory and alerting to risk of jack-knifing.",,Dynamic predicted path lines overlaid on rear camera image.,Dynamic path prediction with jack-knife alert and real-time trailer angle indicator.,Trailer Reverse Guidance with Path Overlay,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Trailer Hitch Assist,,"System that takes over steering while the driver manages throttle and brake, using rear cameras and algorithms to guide the vehicle's hitch ball precisely into alignment with the trailer coupler.",Rear camera with static hitch target overlay only.,Driver-guided alignment with camera and sensor distance indicators.,Fully assisted: system controls steering to align hitch ball to coupler; driver manages throttle/brake only.,Trailer Hitch Alignment Assist,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Trailer Rear View,,"Live camera feed from a camera mounted at the rear of the trailer, providing an unobstructed view behind the trailer during driving — equivalent to a conventional rear-view mirror but extended past the trailer's length.",,OEM-supplied auxiliary trailer camera with wired connection and basic head-unit display.,Integrated trailer rear view in digital rear-view mirror with automatic activation while driving.,Trailer Rear View Camera,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Digital Rear View Mirror - Tow Mode,,"Tow-specific mode for the digital rear-view mirror that simultaneously displays three camera feeds: left side-mirror view, right side-mirror view, and the trailer rear camera — giving the driver complete rear visibility despite the trailer blocking the conventional view.",,DRVM with trailer camera feed as additional selectable view.,"DRVM tow mode: three simultaneous views — left mirror, right mirror, and trailer-rear camera.",Digital Rear View Mirror Tow Mode,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Lane Centering w/trailer - L2,,"Extension of the vehicle's L2 Lane Centring Assistance (LCA) to remain active and functional while a trailer is hitched, with adapted control algorithms accounting for the increased length and altered handling dynamics.",,,"Full L2 with trailer: adapted control algorithms accounting for trailer length, weight, and sway dynamics.",Level 2 Lane Centring while Towing,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
L2+ w/ Trailering (hands free),,"Extension of hands-free Level 2+ driving capability to remain active and functional while towing a trailer, with trailer-aware control tuning. Represents a significant technical achievement given the added complexity of trailer dynamics.",,,Full hands-free L2+ while towing on motorways with trailer-specific control tuning.,Hands-Free Level 2+ Driving while Towing,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Active Trailer Sway Control,,"Enhanced electronic stability intervention specifically targeting trailer oscillation (sway): detects sway forces via sensors, and responds with coordinated stability control braking, trailer brake controller commands, and/or ePAS steering torque overlay to dampen the oscillation before it escalates.",,,Enhanced sway control: stability control + trailer brake controller + ePAS steering torque overlay.,Active Trailer Sway Control,,ADAS Trailering & Towing Assistance,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",
Full Digital Cluster size,,Size of the fully digital instrument cluster display. ,"Fully digital cluster smaller than 10"" (or focused display < 14.9"").","Digital cluster 10""–12"" (or focused display ≥ 14.9"").","Digital cluster larger than 12"".",Digital Instrument Cluster Screen Size,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Central Infotainment Display size,,Size of the primary central infotainment touchscreen. ,"Central display smaller than 12"" (or focused display < 14.9"").","Central display 12""–14"" (or focused display ≥ 14.9"").","Central display larger than 14"".",Central Infotainment Touchscreen Size,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Display technology,,Panel technology used for the vehicle's primary displays. ,TFT LCD display technology.,OLED or Full-Array Local Dimming (FALD) LCD.,"Micro-LED, laser projection, transparent, or holographic display technology.",Display Panel Technology (TFT / OLED / Micro-LED),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
"Specific shape of screen
High : specific shape, curved",,"Describes whether the vehicle's displays use a custom or non-rectangular shape, curved form, or distinctive design signature beyond standard flat rectangular panels — a differentiator for premium brand identity.",,,"Distinctively shaped or curved.
",Custom or Curved Screen Shape,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Screens integration,,The degree to which multiple displays are integrated into a unified physical and visual design. ,Multiple displays behind a single glass cover panel.,Seamlessly integrated displays with minimal bezel separation.,Advanced integration: reflective (CRU/Phantom) or fully hidden/retractable screen concept.,Multi-Screen Integration and Design,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Movable screen,,Capability for the central display to physically move its position. ,,,"
Capability for the central display to physically move its position. ",Movable or Repositionable Screen,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Front passenger display,,"Dedicated display for the front passenger providing independent content viewing (video, navigation, apps) without interfering with the driver's view. ",,,Front passenger screen,Front Passenger Dedicated Display,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Rear Entertainment Display,,Rear-seat entertainment screen solution. ,Tablet holder/mount for customer's own device.,Two OEM-embedded rear displays (headrest or ceiling-mounted).,Single panoramic OEM-embedded rear screen spanning the full rear cabin.,Rear Seat Entertainment Display,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
"rear comfort display (HVAC, seats...)",,"Dedicated touchscreen for rear-seat passengers to independently control climate (HVAC), seat heating/cooling/massage, and other comfort functions without requiring front-seat occupant involvement.",,,"Rear comfort touchscreen controlling HVAC, seat heating/cooling/massage, and entertainment.",Rear Passenger Comfort Control Display,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
HUD (Base= standard (image projection at 2m);,,"A Head-Up Display (HUD) projects driving-relevant information directly onto the windshield or a combiner panel within the driver's natural line of sight, reducing the need to look away from the road. ","Standard windshield or combiner HUD projecting speed, basic navigation arrows, and warning icons at approximately 2 metres virtual distance in the driver's line of sight.","Extended 2.5D HUD projecting speed, navigation guidance, speed limit, and lane information at a virtual distance of 4.5 to 10 metres, providing a greater sense of depth and reduced eye refocus effort.","Augmented Reality HUD projecting information at more than 10 metres virtual distance, with navigation arrows and hazard highlights spatially anchored to the actual road geometry and lane markings ahead of the vehicle.",Head-Up Display (HUD),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Smartphone Holder on dashboard,,Dashboard-integrated smartphone mounting solution. ,Physical holder only — no charging capability.,Dashboard holder with wired USB charging.,Dashboard holder with integrated Qi wireless charging.,Dashboard Smartphone Holder with Charging,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Smartphone Wireless charging pad,,Number of simultaneous wireless (Qi) charging pads in the cabin. ,One wireless Qi charging pad in the cabin.,Two wireless charging pads.,Three or more wireless charging pads.,Wireless Smartphone Charging Pad,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Digital interior rear view mirror,,Rear-view mirror that can display a live camera feed from a rear-mounted camera instead of (or in addition to) the conventional reflected view. ,,Digital-display mode only (no conventional mirror fallback).,Dual-mode: switchable between conventional glass mirror and digital display.,Digital Interior Rear View Mirror,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
"Advanced Modalities (gesture, gazing)",,"New type of modalities to interact : gesture commandes, looked to stg fixed for example",,,"gesture commandes, looked to stg fixed ",Advanced Interaction Modalities (Gesture and Gaze Control),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
"Customization (home page, cluster, HUD)",,"Extent to which the driver can personalise the layout and content of the HMI across multiple screens — home page widget arrangement, cluster data views, HUD information fields — and save configurations to a profile.",,Customisable home screen and cluster widgets (limited options).,"Full layout customisation across home screen, cluster, and HUD with saveable themed profiles.",HMI Screen Customisation (Home / Cluster / HUD),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
"On Board Personalization (Smartseat, Ergonomics...)",,"In-vehicle personalisation of physical comfort settings including smart seat adjustment and memory, ergonomic preferences, HMI content favourites, and stored personal settings accessible without cloud connectivity.",,Electric seat with single one-touch memory position.,"Smart seat with personalised ergonomic profile, HMI content favourites, and OTA preference updates.",On-Board Driver Personalisation (Smart Seat and Ergonomics),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Automatic Personalization (Digital setting) by SD or others,,automatic recognition of customer by mobile or digital key and application of linked profile settings,,,automatic recognition of customer by mobile or digital key and application of linked profile settings,Automatic Profile Loading via Digital Key Recognition,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Adaptative Front lighting System (AFS),,"Dynamic headlight system that adjusts beam direction and pattern in response to steering angle, vehicle speed, and road type to continuously optimise road illumination in curves, junctions, and varying speed conditions.",,,"Full dynamic AFS: continuous beam steering linked to steering angle, speed, and road/map data.",Adaptive Front Lighting System (AFS),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Glare-free High Beam,,"Advanced high-beam system that maintains full high-beam illumination at all times while selectively masking specific zones around detected oncoming vehicles and preceding traffic, eliminating dazzle without reducing overall road illumination.",,,Glare-free high beam: continuously active high beam with selective masking of oncoming/preceding vehicles.,Glare-Free High Beam (Selective Beam Masking),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Exterior Lighting -,,Technology used for the vehicle's exterior lights (headlights and tail lights). ,"LED exterior lighting (headlights, tail lights).",Matrix LED: independently switchable LED groups for basic beam shaping.,Pixel LED: individually addressable pixels for precise beam control and animated light signatures.,Exterior Lighting Technology (LED / Matrix / Pixel),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Interior Lighting,,"Ambient interior lighting system that illuminates the cabin surfaces, footwells, door panels, and dashboard contours to create atmosphere and enhance the perceived quality of the interior. ",Fixed single-colour ambient lighting illuminating the cabin with one static colour tone that cannot be changed by the driver.,Multi-colour RGB ambient lighting system allowing the driver to select from a palette of colours or preset themes to personalise the cabin atmosphere.,"Functional ambient lighting that dynamically changes colour and intensity in real time in response to vehicle events such as navigation turn instructions, ADAS alerts, incoming calls, door opening warnings, and active drive mode changes",Ambient Interior Lighting,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Interior Ambiences,,"Preset or customisable interior atmosphere packages combining ambient lighting, sound, climate, and seat settings. ",Fixed OEM-defined preset ambience themes.,"User-customisable ambience settings (colour, intensity, zone selection).","Adaptive ambience responding to external triggers: weather, time of day, drive mode, or detected events.",Interior Ambience Presets and Customisation,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Illuminated Emblem on steering wheel,,"The brand emblem positioned at the centre of the steering wheel is backlit, transforming a standard badge into an illuminated design signature. ",Monochromatic backlit emblem (single colour).,,Full RGB illuminated emblem dynamically linked to drive mode or ambient lighting theme.,Illuminated Brand Emblem on Steering Wheel,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Electrical Seats,,"Power-adjustable seating allowing occupants to electrically control seat position, recline, lumbar support, and other ergonomic parameters via buttons or a touchscreen interface rather than manual mechanical levers. ","Electric adjustment is available on the driver seat only.
","Electric adjustment is available on both the driver and front passenger seats.
",Electric adjustment is available across all seats including the rear.,Electrically Adjustable Seats,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Memorization  seats position,,"Memory function for electric seat (and optionally mirror/steering column) positions, allowing multiple drivers to save and instantly recall their preferred ergonomic settings.",No memory function — manual repositioning required each time.,,"Multiple memory positions per driver, automatically recalled via personalisation profile.",Seat Position Memory Function,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Massage seats,,In-seat pneumatic or mechanical massage system using inflatable air chambers or vibrating elements integrated into the seat structure to provide comfort and reduce fatigue during long journeys. ,Massage function is available on the driver seat only.,Massage function is available on both the driver and front passenger seats,Massage function is available across all seats including the rear.,Seat Massage Function,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Ventilated Seats,,"Active seat ventilation using fans to draw air through the seat cushion, providing cooling comfort. ",Active ventilation for front seats only.,,Active ventilation for front and rear seats.,Ventilated Seats (Active Seat Cooling),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
eCOI (Elecrical Door Opening),,"Electrically operated interior door release — replacing a conventional mechanical handle with a button, capacitive sensor, or fully electronic latch system for a cleaner interior design.",,,Electrically operated interior door release — replaces the traditional handle with a button or sensor for a cleaner interior design.,Electric Interior Door Release,,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Power Door,,"Motorised door system replacing conventional manual door operation with powered automatic open and close mechanisms, activated via button, handle sensor, or proximity detection.","Motorised automatic open and close is available on the front doors only, providing powered entry and exit convenience for the driver and front passenger.",,"Motorised automatic open and close is available on both front and rear doors, providing fully powered entry and exit convenience for all occupants across the entire vehicle.",Power-Operated Doors (Motorised Door Opening),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
Driver space release (Linked to L3/L4 autonomous vehicle),,"When L3/L4 autonomous mode is engaged, the steering wheel automatically retracts and/or the driver's seat reclines, releasing space in the driver's zone for a more comfortable resting posture during autonomous operation.",,,Full driver-space release: steering wheel retraction plus seat recline when L3/L4 autonomous mode is active.,Driver Space Release for Autonomous Mode (Retractable Steering Wheel),,Cockpit & Human Machine Interface (HMI),"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",
